101,AAMUYÖ,MEL,1003856
ILKKA ALANKO,ON,MAD,KT
(TRAD.),AULD LANG SYNE,MAD,AVD12
(TRAD.),10. YIL MARSI,MAD,TURKKI
(TRAD.),JOS SUN LYSTI ON,MAD,PWR04
(TRAD.),PALJON ONNEA VAAN,MAD,LK23
(TRAD.),VETERAANIN ILTAHUUTO,MAD,MEL53
10CC ,GOOD MORNING JUDGE,MAD,EXST 2
2 MAANANTAI,MIXET TAHDO OLLA MUN KAA,MEL,1007492
38 SPECIAL,CAUGHT UP IN YOU,MEL,1006630
4 NON BLONDES,WHAT'S UP,MAD,HRD 1
51 KOODIA,MUSTAT SYDAMET,MEL,1003836
51 KOODIA,PUU,MEL,1003363
69 EYES,TONIGHT,MAD,POY
7 SEINÄHULLUA VELJESTÄ,NAKIT JA MUUSI,MEL,1000650
A AALLON RYTMIORKESTERI,SAN BERNADINO,MEL,1002162
A AALLON RYTMIORKESTERI,TÄHDET MEREN YLLÄ,MEL,3403212
A. AALLON RYTMIORKESTERI,EXODUS,MAD,FIAT
A. AALLON RYTMIORKESTERI,KOP KOP,MAD,MG-19
A. AALLON RYTMIORKESTERI,MAJAKKA JA MERI,MAD,POY
A. AALLON RYTMIORKESTERI,OI VENUS,MAD,FIN 41B 1
A. AALLON RYTMIORKESTERI,OI VENUS,MEL,1000157
A. AALLON RYTMIORKESTERI,TÄHDET MEREN YLLÄ,MAD,MPR
A. AIMO,ELÄMÄÄ JUOKSUHAUDOISSA,MAD,KK6
A. AIMO JA DALLAPE ORKESTERI,ARPISET HAAVAT,MAD,FIN 29B 9
A. R. RAHMAN & PUSSYCAT DOLLS,JAI HO,MAD,PK12
A.AALLON RYTMIORKESTERI,NAHKAROTSI,MEL,1312218
AAMUPOJAT,ILLAN VIIMEINEN HIDAS,MEL,1312183
AARNE TENKANEN,EDESTÄ JA TAKAA,MEL,1004052
AARNE TENKANEN,HEMAISEVAN SEKSIKÄS PÖRRÖPÄÄ,MAD,MPR
AARNE TENKANEN,HEMAISEVAN SEKSIKÄS PÖRRÖPÄÄ,MAD,PWR01
AARNE TENKANEN,HEMAISEVAN SEKSIKÄS PÖRRÖPÄÄ,MEL,1314114
AARNE TENKANEN,NÄILLÄ KORTEILLA MENNÄÄN,MAD,3700
AARNE TENKANEN,SAAPPAAT JALASSA LÄHDETÄÄN,MAD,3700
AARNO RANINEN,ON HETKI,MAD,POY
AARNO RANINEN,ON HETKI,MEL,1000825
AARNO RANINEN ,ON HETKI,MAD,FIN 28A 3
ABBA,BANG A BOOMERANG,MAD,EXST 3
ABBA,CHIQUITITA,MAD,PK16
ABBA,DANCING QUEEN,MAD,EXST 1
ABBA,DANCING QUEEN,MAD,PK01
ABBA,FERNANDO,MAD,EXST 3
ABBA,FERNANDO,MAD,PK07
ABBA,I DO, I DO, I DO, I DO, I DO,MAD,EXST 3
ABBA,KNOWING ME KNOWING YOU,MAD,EXST 2
ABBA,KNOWING ME, KNOWING YOU,MAD,AVD12
ABBA,MAMMA MIA,MAD,EXST 3
ABBA,RING RING,MAD,EXST 3
ABBA,SUPER TROUPER,MAD,PK21
